Timepoint,Sample,CFU_ml,CFU_stdev
0,Bd_phage,63333333.33,25166114.78
4,Bd_phage,900000000,100000000
8,Bd_phage,3666666667,577350269.2
12,Bd_phage,2666666667,351188458.4
16,Bd_phage,2766666667,513160143.9
20,Bd_phage,666666666.7,305505046.3
24,Bd_phage,400000000,282842712.5
28,Bd_phage,203333333.3,11547005.38
32,Bd_phage,60000000,26457513.11
36,Bd_phage,27000000,3464101.615
40,Bd_phage,9000000,0
44,Bd_phage,14666666.67,3055050.463
0,Bv_phage,15333333.33,577350.2692
4,Bv_phage,12000000,0
8,Bv_phage,1600000000,282842712.5
12,Bv_phage,1400000000,424264068.7
16,Bv_phage,733333333.3,208166599.9
20,Bv_phage,26666666.67,6658328.118
24,Bv_phage,14333333.33,8962886.44
32,Bv_phage,13000000,4582575.695
36,Bv_phage,8666666.667,3785938.897
40,Bv_phage,3233333.333,115470.0538
44,Bv_phage,2000000,655743.8524
0,Bd,26000000,6082762.53
4,Bd,866666666.7,57735026.92
8,Bd,1900000000,264575131.1
12,Bd,2433333333,208166599.9
16,Bd,2166666667,152752523.2
20,Bd,1350000000,636396103.1
24,Bd,600000000,173205080.8
28,Bd,166666666.7,11547005.38
32,Bd,25000000,7000000
36,Bd,15333333.33,3214550.254
40,Bd,4666666.667,577350.2692
44,Bd,5666666.667,2081665.999
0,Bv,13333333.33,2081665.999
4,Bv,140000000,84852813.74
8,Bv,1400000000,424264068.7
12,Bv,1350000000,212132034.4
16,Bv,700000000,0
20,Bv,216666666.7,49328828.62
24,Bv,70000000,26457513.11
32,Bv,27333333.33,10263202.88
36,Bv,10333333.33,5033222.957
40,Bv,7333333.333,3785938.897
44,Bv,5333333.333,2081665.999